



PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
167390;"Academia Darío Estudio";"";"";"";"METRO: Santo Domingo, Plaza España BUS: 1 , 2 , 44 , 46 , 74 , 75 , 133 , 148 , 202";" ENSEÑANZA: BACHILLERATO (Humanidades  y C. Sociales - Ciencias y Tecnología)  ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bfb1ff632081c010VgnVCM1000000b205a0aRCRD";"GRAN VIA";"CALLE";"V";"63";"";"";"";"";"MADRID";"MADRID";"28013";"PALACIO";"CENTRO";"439895";"4475101";"40.42249057800178";"-3.7098176178133118";"915 411 515 - 915 474 084";"915 474 084";"";"/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados"; 
135362;"Academia J.E.A.";"";"";"";"METRO: Alonso Martínez , Colón BUS: 3 , 7 , 21 , 37 , 40 , 149 ";" ENSEÑANZA: Bachillerato (Humanidades y C. Sociales - Ciencias y Tecnología) ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2beba5f17981c010VgnVCM1000000b205a0aRCRD";"GENOVA";"CALLE";"NUM";"14";"";"";"";"";"MADRID";"MADRID";"28004";"JUSTICIA";"CENTRO";"441210";"4475565";"40.426764567498395";"-3.694372189804814";"913 080 384 - 913 086 911";"913 080 384";"";"/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados"; 
6175;"Academia Torval'L";" Centro Privado de Enseñanza secundaria y de Formación Profesional Específica. ";"De lunes a viernes, de 8,30 horas a 21 horas";"";" Metro: Tribunal (líneas 1, 10), Alonso Martínez (líneas 4, 5, 10)  Bus: 3, 7, 21, 37, 40, 149 ";"  Enseñanzas impartidas    Bachillerato    Ciencias y Tecnología  Humanidades y Ciencias Sociales     Formación profesional de grado superior    Secretariado   Gestión comercial y marketing  Comercio Internacional  Desarrollo de aplicaciones multiplataforma  Desarrollo de aplicaciones Web  Administración y Finanzas  ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=efd719d41471c010VgnVCM1000000b205a0aRCRD";"DE SAN MATEO";"CALLE";"V";"15";"";"";"";"";"MADRID";"MADRID";"28004";"JUSTICIA";"CENTRO";"440852";"4475477";"40.425946469933116";"-3.6985722940318295";"914 453 510 - 675 583 597";"915 942 379";"info@torvall.es";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosFormacionProfesionalPrivadosConcertados"; 
6599;"Aula Municipal de Formación de Personas Adultas. Distrito Ciudad Lineal";"";" De lunes a jueves 
 
 mañanas de 9 a 11 horas y de 11,45 a 13,45 horas 
 tardes de 16,45 a 18,45 horas 
 ";"";" Bus: 15 , 28 , 110 , 113 , 210 ";"  Programas Formativos:   
 Lectoescritura Matemáticas para la vida Español para inmigrantes ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fe25821c3771c010VgnVCM1000000b205a0aRCRD";"SANTA FELICIDAD";"CALLE";"NUM";"39";"";"";"";"EN CENTRO CULTURAL ELIPA";"MADRID";"MADRID";"28017";"VENTAS";"CIUDAD LINEAL";"444947";"4475278";"40.42443536952662";"-3.650283533159248";"914 055 312";"";"";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos"; 
6605;"Aula Municipal de Formación de Personas Adultas. Distrito San Blas - Canillejas";"";" De lunes a jueves 
 
 mañanas de 10,15 a 12,15 horas 
 tardes de 15,15 a 17,15 horas y de 18 a 20 horas 
 ";"";" Bus: 4 , 48 ";"  Programas Formativos:   
 Lectoescritura Matemáticas para la vida Español para inmigrantes ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4555821c3771c010VgnVCM1000000b205a0aRCRD";"SAN ROMAN DEL VALLE";"CALLE";"NUM";"8";"";"";"";"EN CENTRO CULTURAL ANTONIO MACHADO";"MADRID";"MADRID";"28037";"ARCOS";"SAN BLAS-CANILLEJAS";"447358";"4474793";"40.420231627534996";"-3.6218113860909074";"913 135 294";"";"";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos"; 
6602;"Aula Municipal de Formación de Personas Adultas. Distrito Villaverde. Calle Doctor Martín Arevalo";"";" De lunes a jueves 
 
 mañanas de 10,15  a 12,15 horas 
 tardes de 15,15 a 17,15 horas y de 18 a 20 horas 
 ";"";" Bus: 22 , 86 , 130 , 131 ";"  Programas Formativos:   
 Lectoescritura Matemáticas para la vida Español para inmigrantes ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=38c5821c3771c010VgnVCM1000000b205a0aRCRD";"DOCTOR MARTIN AREVALO";"CALLE";"V";"2";"";"";"";"CENTRO CULTURAL ÁGATA";"MADRID";"MADRID";"28021";"SAN ANDRES";"VILLAVERDE";"439937";"4466650";"40.34636268334182";"-3.708524395897377";"917 109 300";"";"";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos"; 
6603;"Aula Municipal de Formación de Personas Adultas. Distrito Villaverde. Plaza Los Pinazo";"";" De lunes a jueves 
 
 mañanas de 10,15  a 12,15 horas 
 tardes de 15,15 a 17,15 horas y de 18 a 20 horas 
 ";"";" Bus: 59 , 79 ";"  Programas Formativos:   
 Lectoescritura Matemáticas para la vida Español para inmigrantes ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8ee5821c3771c010VgnVCM1000000b205a0aRCRD";"PINAZO";"PLAZA";"V";"9";"";"";"";"CENTRO CULTURAL SAN CRISTÓBAL";"MADRID";"MADRID";"28021";"SAN CRISTOBAL";"VILLAVERDE";"441384";"4466229";"40.34267317099495";"-3.6914487380508842";"917 100 410";"";"";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos"; 
5422896;"Aula Municipal de Formación de Personas Adultas. Distrito Chamberí";"";" De lunes a jueves:    mañanas de 10,15 a 12,15 horas   tardes de 15,15 a 17,15 horas y de 18 a 20 horas   ";"";" Bus: 3, 7, 21, 37, 40  Metro: Alonso Martínez ";"  Programas Formativos:    Lectoescritura Matemáticas para la vida Español para inmigrantes ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f8060c2f841e3210VgnVCM2000000c205a0aRCRD";"ALMAGRO";"CALLE";"V";"5";"";"";"";"I.F.E. DEL GOBIERNO LOCAL DE MADRID";"MADRID";"MADRID";"28010";"ALMAGRO";"CHAMBERI";"441154";"4475762";"40.42852633195809";"-3.695038704917714";"917 001 548 - 917 001 552";"";"";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos"; 
5247422;"Casa de Niños Arroyo Fresno";"";"";"";" METRO: Lacoma  BUS: 49, 64, 83, 133 ";" ENSEÑANZA: Educación infantil (Primer Ciclo) ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4feb1a2b77e7f110VgnVCM1000000b205a0aRCRD";"ISLAS CIES";"CALLE";"V";"11";"";"";"";"";"MADRID";"MADRID";"28035";"PEÑA GRANDE";"FUENCARRAL-EL PARDO";"439248";"4481583";"40.480844891953936";"-3.7180653144183027";"917 308 460";"917 308 460";"";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
5236566;"Casa de Niños Daniel Vázquez Díaz";"";"";"Planes de mejora";" METRO: Valdezarza  BUS: 126, 127, 132 ";" ENSEÑANZA: Educación infantil (Primer Ciclo) ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=85133ceac6b4f110VgnVCM2000000c205a0aRCRD";"ARMENTEROS";"CALLE";"V";"46";"";"";"";"";"MADRID";"MADRID";"28039";"VALDEZARZA";"MONCLOA-ARAVACA";"439661";"4479797";"40.464777111936684";"-3.7130226942453906";"913 113 496";"913 113 496";"";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"; 
