datos_a､o,clase_inmueble,distrito_cod,distrito_nombre,barrio_cod,barrio_nombre,uso_cod,uso_deno,inmuebles_barrio,a､o_cons_medio,sup_cons_barrio,sup_cons_media,sup_suelo_barrio,sup_suelo_media,val_cat_barrio,val_cat_medio
2015,UR,1,Centro,11,PALACIO,A,Almacén-Estacionamiento,3.04,1.969,216.279,71,,,1.2984905586E8,42713.51
2015,UR,1,Centro,11,PALACIO,C,Comercial,1.412,1.921,224.217,159,,,4.101220736E8,290454.73
2015,UR,1,Centro,11,PALACIO,E,Cultural,36,1.937,62.899,1.747,,,7.57466424E7,2104073.4
2015,UR,1,Centro,11,PALACIO,G,Ocio y Hostelería,257,1.908,114.145,444,,,1.9904773415E8,774504.8
2015,UR,1,Centro,11,PALACIO,I,Industrial,22,1.942,13.228,601,,,1.180794949E7,536724.98
2015,UR,1,Centro,11,PALACIO,K,Deportivo,8,1.946,8.093,1.012,,,1.136203584E7,1420254.48
2015,UR,1,Centro,11,PALACIO,M,"Suelos sin edificar, obras de urbanización y jardinería",66,,,,135.976,2.06,3.539946972E7,536355.6
2015,UR,1,Centro,11,PALACIO,O,Oficinas,562,1.945,178.715,318,,,3.1073015696E8,552900.64
2015,UR,1,Centro,11,PALACIO,P,Edificio Singular,15,1.891,197.446,13.163,,,2.8154289641E8,1.876952643E7
2015,UR,1,Centro,11,PALACIO,R,Religioso,17,1.884,102.718,6.042,,,1.1425418376E8,6720834.34
2015,UR,1,Centro,11,PALACIO,T,Espectáculos,5,1.939,84.965,16.993,,,1.5571650931E8,3.114330186E7
2015,UR,1,Centro,11,PALACIO,V,Residencial,13.197,1.928,1.365.784,103,,,1.85616784185E9,140650.74
2015,UR,1,Centro,11,PALACIO,Y,Sanidad y Beneficencia,11,1.939,25.101,2.282,,,2.518413343E7,2289466.68
2015,UR,1,Centro,12,EMBAJADORES,A,Almacén-Estacionamiento,4.062,1.975,263.403,65,,,1.4150597628E8,34836.53
2015,UR,1,Centro,12,EMBAJADORES,C,Comercial,2.648,1.926,395.259,149,,,5.7655291021E8,217731.46
2015,UR,1,Centro,12,EMBAJADORES,E,Cultural,48,1.92,186.078,3.877,,,2.1263230022E8,4429839.59
2015,UR,1,Centro,12,EMBAJADORES,G,Ocio y Hostelería,109,1.903,52.413,481,,,7.960087532E7,730283.26
2015,UR,1,Centro,12,EMBAJADORES,I,Industrial,25,1.938,3.677,147,,,2699860.87,107994.43
