PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,TRANSPORTE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,ORIENTACION,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,TIPO
7902770,Bibliometro," El  Bibliometro  es un servicio de extensión bibliotecaria destinado al fomento de la lectura mediante el préstamo gratuito de libros en el Metro de Madrid.  Promovido conjuntamente por el Ayuntamiento de Madrid y la Comunidad de Madrid en colaboración con Metro, el Bibliometro es el primer servicio común a los dos sistemas de Bibliotecas Públicas del Ayuntamiento de Madrid y la Comunidad de Madrid.  El servicio gestionado por el Ayuntamiento de Madrid se centraliza en la Unidad Técnica de Bibliotecas Públicas, localizada en la calle Príncipe de Vergara, 140. ","  Horario:  de 13.30 a 20.00 de lunes a viernes, excepto festivos. ",,,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=3d2cd4bdf66bb410VgnVCM1000000b205a0aRCRD,PRINCIPE DE VERGARA,CALLE,,MADRID,MADRID,28002,CIUDAD JARDIN,CHAMARTIN,442601,4477517,40.44444653179131,-3.67813993012987,"                                    
91 588 57 24       
",/contenido/entidadesYorganismos/BibliotecasPublicas
8053214,Bibliored," El  Bibliored  es un servicio de extensión bibliotecaria destinado al fomento de la lectura mediante el préstamo gratuito de libros, un proyecto similar al de Bibliometro pero en la superficie.  Existen dos módulos de Bibliored: el de Cuatro Caminos y el de Sanchinarro, situados dentro de un centro juvenil y un centro cultural respectivamente.  El servicio, gestionado por el Ayuntamiento de Madrid, se centraliza en la Unidad Técnica de Bibliotecas Públicas, localizada en la calle Príncipe de Vergara, 140. ","  Horario:  de 13.30 a 20.00 de lunes a viernes, excepto festivos. ",,,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=917c40221457d410VgnVCM2000000c205a0aRCRD,PRINCIPE DE VERGARA,CALLE,,MADRID,MADRID,28002,CIUDAD JARDIN,CHAMARTIN,442601,4477517,40.44444653179131,-3.67813993012987,"                                               
91 588 57 24                  
",/contenido/entidadesYorganismos/BibliotecasPublicas
1881,Biblioteca Histórica Municipal," El origen de la  Biblioteca Histórica Municipal  fue la formación de una colección de libros sobre Madrid. Creada como Biblioteca Municipal en 1876 a iniciativa de Ramón de Mesonero Romanos, en 1990 recibe la denominación de Histórica y se constituye en un centro para la investigación. Su principal objetivo es la protección del legado patrimonial bibliográfico y su difusión. 
 Entre sus  colecciones especiales  están las siguientes: Madrid, Teatro y Música (manuscritos e impresos de los siglos  XVII  a  XIX ), Bio-bibliografía (Colección Beltrán), Paremiología, Raros, Veterinaria, Guerra Civil Española (Colección Tomás Borrás), Lope de Vega, Cervantes y Toros. ",  Horario : de lunes a viernes de 8:30 a 14:30 horas.   Cerrada  festivos y los días 24 y 31 de diciembre. ,"  Metro:  San Bernardo , Ventura Rodríguez , Plaza España, Noviciado  Bus:  1 , 2 , 7 , 21 , 44 , 74 , 147 , Circular, Minibús M-2 ","   Directorio:  
 
  Dirección  Ilda María del Rosario Pérez García Teléfono: 91 588 57 44 Correo electrónico  bibliotecah@madrid.es  
  Negociado Administrativo / Secretaría   Teléfono: 91 5885723; 91 5885737 
  Sección de Información y Referencia  Teléfono: 91 4800557 Correo electrónico  bibliotecah@madrid.es  
  Sección de Colecciones Especiales  Correo electrónico:  bibliotecah@madrid.es  
  Sección de Fondos Generales  Correo electrónico  bibliotecah@madrid.es  
 ",1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ccbc3d0b5e71c010VgnVCM1000000b205a0aRCRD,CONDE DUQUE,CALLE,,MADRID,MADRID,28015,UNIVERSIDAD,CENTRO,439832,4475644,40.42737760210632,-3.7106116887809817,"Secretaría: 915885737. Información y Referencia: 915885756, 914800557 y 915885744 ",/contenido/entidadesYorganismos/BibliotecasPublicas
6779450,Biblioteca Musical Víctor Espinós,"   La  Biblioteca Musical Víctor Espinós  fue fundada en 1919 a propuesta de Víctor Espinós como  Biblioteca Musical Circulante . Es un centro creado para la difusión y fomento de la educación musical y desde sus comienzos tiene un marcado carácter de servicio público, abierto a todo tipo de usuarios. En 1932 se inicia un servicio pionero de préstamo de instrumentos cuyo fin es facilitar el estudio musical. ", De lunes a viernes de 8:30 a 21:00 horas.   Cerrado  festivos y los días 24 y 31 de diciembre. ,"  Metro : Ventura Rodríguez, Plaza de España, San Bernardo y Noviciado.  Bus : 1 , 2 , 7 , 21 , 44 , 74 , 147 , Circular, Minibús M-2 ","   Directorio:     
 
  Dirección:   Inmaculada Seldas Fernández Tfno: 91 513 36 81 
  Adjunto:  Ignacio Gómez Novillo Teléfono: 91 480 14 17   
  Préstamo de Instrumentos  Teléfono: 91 588 57 55  
  Información bibliográfica  Teléfono: 91 588 57 51  
  Gestión económica y administrativa  Teléfono: 91 588 57 53 Teléfono: 91 480 13 44 
  Mostrador de préstamo / Cabinas de ensayo  Teléfonos: 91 588 57 60 / 91 588 57 39   
 ",1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d482270f58c6c310VgnVCM2000000c205a0aRCRD,CONDE DUQUE,CALLE,,MADRID,MADRID,28015,UNIVERSIDAD,CENTRO,439832,4475644,40.42737760210632,-3.7106116887809817,"91 588 57 53 / 91 588 57 39 / 91 588 57 55                                                         
91 588 57 60",/contenido/entidadesYorganismos/BibliotecasPublicas
1771,Biblioteca Pública Acuña,,"  Sección de adultos:  de lunes a viernes de 9 a 21 horas. Sábados de 9 a 14 horas. 
  Sección infantil/juvenil:  de lunes a viernes de 15 a 21 horas. Sábados de 9 a 14 horas. 
  Servicio de préstamo y acceso a internet:  lunes a viernes de 9 a 20:45 horas; sábados de 9 a 13:45 horas "," Metro: Arg&uuml;elles (líneas 3, 4, 6) 
 Bus: 1, 2, 44, 74, 133, C1, C2, M2 ","  Préstamo domiciliario:  carné gratuito presentando el  DNI,  u otro documento que acredite legalmente la identidad personal y para los menores de 14 años, con autorización del padre, la madre o tutor legal 
  Días de cierre de la Biblioteca 2016:   
 
 Sábados: 26 de marzo; sábados de julio y agosto; 3 y 10 de septiembre 
 Domingos: todos 
 Festivos: 1 y 6 de enero; 24 y 25 de marzo; 2 y 16  de mayo; 25 de julio; 15 de agosto; 12 de octubre; 1 y 9 de noviembre; 6, 8 y 26 de diciembre. 
 Otros: 24 y 31 de diciembre 
 ",1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e9ad995a8bf5d010VgnVCM2000000c205a0aRCRD,QUINTANA,CALLE,,MADRID,MADRID,28008,ARGUELLES,MONCLOA-ARAVACA,439294,4475711,40.427942010682415,-3.7169600607379985,"915 413 619                                                                       
",/contenido/entidadesYorganismos/BibliotecasPublicas
1767,Biblioteca Pública Canillejas,,"  Adultos:  lunes, jueves y viernes de 9 a 14 horas. Martes y miércoles de 16 a 20:45 horas. 
 La biblioteca infantil está cerrada hasta nuevo aviso. 
  Días de cierre 2016 : 
 
 Fines de semana y festivos 
 Del 1 al 7 de enero 
 8 de febrero 
 Semana Santa (18 al 29 de marzo) 
 2 y 16 de mayo 
 Julio y agosto 
 12 de octubre 
 1 y 9 de noviembre 
 6 y 8 de diciembre 
 "," Metro: Las Musas (línea 7) 
 Bus: 28, 48, 140 ","  Préstamo domiciliario: c arné gratuito presentando el  DNI  u otro documento que acredite legalmente la identidad personal y, para los menores de 14 años, con autorización del padre, la madre o tutor legal ",1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a8cd995a8bf5d010VgnVCM2000000c205a0aRCRD,MUSAS,CALLE,,MADRID,MADRID,28022,CANILLEJAS,SAN BLAS-CANILLEJAS,448512,4476732,40.43776263645119,-3.6083782410803944,917 424 499,/contenido/entidadesYorganismos/BibliotecasPublicas
5765642,Biblioteca Pública Carabanchel Luis Rosales,," De lunes a viernes de 9 a 21 horas. 
 Fines de semana y festivos, de 11 a 19 horas  
 El 24 y 31 de diciembre la biblioteca abrirá de 9 a 14 horas. 
 Días de cierre: 1 de enero, 1 de mayo, fines de semana y festivos del mes de agosto y 25 de diciembre. "," Metro: San Francisco (línea 11), Carabanchel Alto (línea 11) 
 Bus: 34, 35, 47, 108, 121, 131, 139 ","  Préstamo domiciliario:  Carné gratuito presentando el  D.N.I  u otro documento que acredite legalmente la identidad personal y, para los menores 14 años de edad, con autorización del padre, la madre o tutor legal. 
  Información adicional sobre horarios:  los fines de semana y festivos de 14:30 a 15:30 horas no se asignarán préstamos de libros ni acceso a Internet pero sí continuará abierta la sala de lectura. Todos los días los servicios de préstamo y acceso a Internet finalizarán 15 minutos antes del cierre. ",1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7a73f884ad3f9210VgnVCM1000000b205a0aRCRD,ANTONIA RODRIGUEZ SACRISTAN,CALLE,,MADRID,MADRID,28044,PUERTA BONITA,CARABANCHEL,436603,4469681,40.373420234648606,-3.7480802097487653,"912 760 233                                                                                                          
",/contenido/entidadesYorganismos/BibliotecasPublicas
1764,Biblioteca Pública Central,," 
  Sección de adultos:  lunes a viernes de  9  a 21 horas. Sábados de 9 a 14 horas. 
   Sección infantil/juvenil:  lunes a viernes de 15 a 21 horas. Sábados de 9 a 14 horas. 
 
 Los servicios de préstamo y acceso a internet finalizan 15 minutos antes del cierre de la Biblioteca. 
   "," Metro: Iglesia (línea 1), Alonso Cano (línea 7) 
 Bus: 3, 5, 16, 37, 61, 149 ","  Días de cierre en 2016  :  
 
  Sábados : 26 marzo; sábados de julio y agosto; 3 y 10 septiembre; 24 y 31 diciembre. 
  Domingos  
  Festivos : 1 y 6 enero; 24 y 25 marzo; 2 y 16 mayo; 25 julio; 15 agosto; 12 octubre; 1 y 9 noviembre; 6, 8 y 26 diciembre 
 ",1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5a2279262ef5d010VgnVCM1000000b205a0aRCRD,FELIPE EL HERMOSO,CALLE,,MADRID,MADRID,28010,TRAFALGAR,CHAMBERI,440772,4476526,40.43539063992494,-3.6996132452669075,914 459 782,/contenido/entidadesYorganismos/BibliotecasPublicas
1798,Biblioteca Pública Centro Pedro Salinas,,"  Sección de adultos:  de lunes a viernes de 9 a  21 horas 
  Sección infantil/juvenil:  de lunes a viernes de 15 a 21 horas 
  Cierre del siervicio de préstamo:  15 minutos antes 
     "," Metro: Puerta Toledo (línea 5) 
 Bus: 3, 17, 18, 23, 35, 41, 60, 148, C1, C2 
 Renfe: Pirámides ","  Préstamo domiciliario:  Carné gratuito presentando el  D.N.I  u otro documento que acredite legalmente la identidad personal y, para los menores 14 años de edad, con autorización del padre, la madre o tutor legal. ",1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=67ed995a8bf5d010VgnVCM2000000c205a0aRCRD,PUERTA DE TOLEDO,GLORIETA,,MADRID,MADRID,28005,EMBAJADORES,CENTRO,439776,4473392,40.40709558029403,-3.711046518464516,913 665 407,/contenido/entidadesYorganismos/BibliotecasPublicas
66904,Biblioteca Pública Fuencarral - El Pardo. Rafael Alberti,,"  Secciones de adultos, prensa y audiovisuales : de lunes a viernes de 9 a 21 horas. (Préstamo hasta las 20:45 horas).; Sábados de  9 a 14 horas (Préstamo hasta las 13:45 horas). 
  Sección infantil:  de lunes a viernes de 15 a 21 horas. (Préstamo hasta las 20:45 horas).; Sábados de  9 a 14 horas (Préstamo hasta las 13:45 horas) 
  Sala de lectura:  de lunes a viernes de 9 a 21 horas. Sábados de  9 a 14 horas "," Metro: Herrera Oria (línea 9) 
 Bus: 67, 83, 124, 125, 178 
 Renfe: Ramón y Cajal ","  Préstamo domiciliario:  carné gratuito presentando el  DNI  u otro documento que acredite legalmente la identidad personal y, para los menores de 14 años, con autorización de padre, la madre o tutor legal. 
  Días cierre biblioteca año 2016:   
 
  Sábados:  2 de enero; 26 de marzo; sábados de julio y agosto; 3 y 10 de septiembre; 24 y 31 de diciembre. 
  Domingos : Todos 
  Festivos:  1 y 6 de enero; 24 y 25 de marzo; 2 y 16 de mayo; 25 de julio; 15 de agosto; 12 de octubre; 1 y 9 de noviembre; 6, 8 y 26 de diciembre. 
 
     ",1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=260e995a8bf5d010VgnVCM2000000c205a0aRCRD,SANGENJO,CALLE,,MADRID,MADRID,28034,LA PAZ,FUENCARRAL-EL PARDO,440920,4482355,40.48791129077104,-3.6984002338920092,917 319 552 / 917 319 553,/contenido/entidadesYorganismos/BibliotecasPublicas
